product,price_czk,weight_g,price_per_100g_czk,source,date_verified,status
Franui (maliny v čokoládě),159.99,150,106.66,Rohlík.cz,2026-04-19,verified
Berrie Blueberry (borůvky),129.90,150,86.60,navrhovaná cena,2026-04-19,proposed
Berrie Strawberry (jahody),119.90,150,79.93,navrhovaná cena,2026-04-19,proposed
Berrie Banana (banán),119.90,150,79.93,navrhovaná cena,2026-04-19,proposed
Berrie Mix (mix),124.90,150,83.27,navrhovaná cena,2026-04-19,proposed
